locationname,locationtown,locationregion,locationarea,waterbodyid,locationtownid,exportname,wbtextid,wbofficialname,wbtownname,wbregion,wbarea,wbbasinarea,wbelevation,wbmaxdepth,wbmeandepth,wboutlettype,wbfullname,wbtype,wbcenterlatitude,wbcenterlongitude,wbgeocentroid,wbgeoborder
Gale Meadows,Londonderry,gm-s,195,GALE MEADOWS,162,GALE MEADOWS,GALE MEADOWS,Gale Meadows Pond,Londonderry,Green Mtn South,195,6573,1358,20,8,ARTIFICIAL,Gale Meadows Pond Londonderry,Reservoir,43.17,-72.87,,
Glen,Fair Haven,wc,206,GLEN,144,GLEN,GLEN,Glen Lake,Castleton,West Central,206,2050,478,68,32,NATURAL with ARTIFICIAL CONTROL,Glen Lake Castleton,Lake (Artificial Control),43.67,-73.23,,
Great Averill,Averill,nek,828,GREAT AVERILL,8,GREAT AVERILL,GREAT AVERILL,Great Averill Pond,Norton,NE Kingdom,828,7638,1684,108,42,NATURAL with ARTIFICIAL CONTROL,Great Averill Pond Norton,Lake (Artificial Control),44.98,-71.7,,
Great Hosmer,Craftsbury,nc,140,GREAT HOSMER,50,GREAT HOSMER,GREAT HOSMER,Great Hosmer Pond,Craftsbury,North Central,140,860,1117,57,20,NATURAL with ARTIFICIAL CONTROL,Great Hosmer Pond Craftsbury,Lake (Artificial Control),44.6947722,-72.3606624,,
Green River,Hyde Park,nc,554,GREEN RIVER,64,GREEN RIVER,GREEN RIVER,Green River Reservoir,Hyde Park,North Central,554,9075,1220,93,,ARTIFICIAL,Green River Reservoir Hyde Park,Reservoir,44.629268,-72.515443,,
Greenwood,Woodbury,nc,96,GREENWOOD,77,GREENWOOD,GREENWOOD,Lake Greenwood,Woodbury,North Central,96,1138,1188,41,15,NATURAL,Lake Greenwood Woodbury,Lake,44.4586661,-72.4253853,,
Griffith,Peru,gm-s,13,GRIFFITH,160,GRIFFITH,GRIFFITH,Griffith Lake,Peru,Green Mtn South,13,104,2618,,,NATURAL,Griffith Lake Peru,Lake,43.3028517,-72.9592692,,
Groton,Groton,nc,422,GROTON,95,GROTON,GROTON,Lake Groton,Groton,North Central,422,12006,1078,35,13,NATURAL with ARTIFICIAL CONTROL,Lake Groton Groton,Lake (Artificial Control),44.2667271,-72.2662089,,
Grout,Stratton,gm-s,84,GROUT,173,GROUT,GROUT,Grout Pond,Stratton,Green Mtn South,84,411,2225,33,,NATURAL,Grout Pond Stratton,Pond,43.0445226,-72.9456567,,
Halls,Newbury,ec,85,HALLS,214,HALLS,HALLS,Halls Lake,Newbury,East Central,85,561,779,30,17,NATURAL with ARTIFICIAL CONTROL,Halls Lake Newbury,Lake (Artificial Control),44.085898,-72.1231473,,
Hardwick,Hardwick,nc,145,HARDWICK,66,HARDWICK,HARDWICK,Hardwick Lake,Hardwick,North Central,145,6876,797,,,ARTIFICIAL,Hardwick Lake Hardwick,Reservoir,44.52,-72.37,,
Hardwood,Elmore,nc,44,HARDWOOD,70,HARDWOOD,HARDWOOD,Hardwood Pond,Elmore,North Central,49,185,1569,15,,NATURAL,Hardwood Pond Elmore,Pond,44.4678324,-72.4995546,,
Harriman,Whitingham,gm-s,2040,HARRIMAN (WHITHM),192,HARRIMAN (WHITHM),HARRIMAN (WHITHM),Harriman Reservoir,Whitingham,Green Mtn South,2040,116840,1490,160,34,ARTIFICIAL,Harriman Reservoir Whitingham,Reservoir,42.83,-72.88,,
Hartwell,Albany,nc,16,HARTWELL,39,HARTWELL,HARTWELL,Hartwell Pond,Albany,North Central,16,623,1609,57,21,NATURAL,Hartwell Pond Albany,Pond,44.7044943,-72.293716,,
Harveys,Barnet,nc,351,HARVEYS,83,HARVEYS,HARVEYS,Harveys Lake,Barnet,North Central,351,5364,893,145,66,NATURAL with ARTIFICIAL CONTROL,Harveys Lake Barnet,Lake (Artificial Control),44.3,-72.13,,
Hinkum,Sudbury,wc,60,HINKUM,244,HINKUM,HINKUM,Hinkum Pond,Sudbury,West Central,60,353,719,69,,NATURAL with ARTIFICIAL CONTROL,Hinkum Pond Sudbury,Lake (Artificial Control),43.7647857,-73.1678903,,
Holland,Holland,nek,325,HOLLAND,9,HOLLAND,HOLLAND,Holland Pond,Holland,NE Kingdom,325,4431,1430,39,17,NATURAL with ARTIFICIAL CONTROL,Holland Pond Holland,Lake (Artificial Control),44.9867132,-71.9281516,,
Hortonia,Hubbardton,wc,479,HORTONIA,245,HORTONIA,HORTONIA,Lake Hortonia,Hubbardton,West Central,479,4457,484,60,19,NATURAL with ARTIFICIAL CONTROL,Lake Hortonia Hubbardton,Lake (Artificial Control),43.7500632,-73.2078906,,
Howe,Readsboro,gm-s,52,HOWE,189,HOWE,HOWE,Howe Pond,Readsboro,Green Mtn South,52,1647,1926,33,10,NATURAL,Howe Pond Readsboro,Pond,42.7842485,-72.9859342,,
Indian Brook,Essex,cha-n,50,INDIAN BROOK (ESSEX),212,INDIAN BROOK (ESSEX),INDIAN BROOK (ESSEX),Indian Brook Reservoir,Essex,Champlain ,50,761,520,22,13,ARTIFICIAL,Indian Brook Reservoir Essex,Reservoir,44.53,-73.1,,
