eventID,occurrenceID,basisOfRecord,recordedBy,individualCount,lifeStage,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,taxonRank,type,ownerInstitutionCode
2020-HARDWOOD-1,2020-HARDWOOD-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2012-HARVEYS-1,2012-HARVEYS-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2015-WRIGHTSVILLE-1,2015-WRIGHTSVILLE-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2021-MILLER (STRFRD)-1,2021-MILLER (STRFRD)-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2020-INDIAN BROOK (ESSEX)-1,2020-INDIAN BROOK (ESSEX)-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2019-COLES-1,2019-COLES-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2018-CHANDLER (WHLOCK)-1,2018-CHANDLER (WHLOCK)-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-EWELL-1,2017-EWELL-1-Ch,HumanObservation,,2,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2013-SUNSET (MARLBR)-1,2013-SUNSET (MARLBR)-1-Ad,HumanObservation,,1,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2013-BRUCE-1,2013-BRUCE-1-Ad,HumanObservation,,1,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
